Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Advertising,6063.75,9500
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Books-Under $1000,772,1027
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5288.3,2444
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Computer Software-Under $1000,345.28,500
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,,Dependent Care FSA,3003.32,0
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Employee Training Expense,3310.39,3000
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Employers Contrb Hospitalizatn,172143.12,151605
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Equipment,Equip-Office & Household,162.61,1355
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Food,442.8,1500
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Group Life Insurance Perm,26284.95,25192
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Membership Dues & Subscription,1700.5,7124
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Mileage,0,388
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Other Contractual Services,107954.43,126230
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Parking Validations,499,1250
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Promotional Activities,1929.61,15000
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Retirement,246346,246346
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Retirement Expense (Vsrs Emp),132887.13,60935
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Semi-Monthly/Monthly,1992786.72,1876102
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Semi-Monthly/Monthly Overtime,7.56,858
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Social Security Fica Tax,161532.35,143614
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Special Pay & Allowances,3438.48,0
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Supplies-Office,1579.86,4340
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Supplies-Program,0,2500
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Equipment,Technology Equipment,21181.01,17666
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Telephone,2425.32,2000
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Temporary/Casual Employment,162652.96,200000
2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Traveling Expense,0,3014
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",AFMS,10730,10730
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Chargeouts-Data Processing,28356,28356
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,0,350
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Chemicals,4050,5000
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Coffins,7046.01,9272
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Computer Software-Under $1000,0,500
2023,Cemeteries,Cemetary Fund,Cemetery,Debt Service/Transfers to CIP,Debt Principal,24960,24960
2023,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Electricity,14889.56,16330
2023,Cemeteries,Cemetary Fund,Cemetery,Contractual Services,Employee Training Expense,75,400
2023,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Employers Contrb Hospitalizatn,198050.97,196624
2023,Cemeteries,Cemetary Fund,Cemetery,Equipment,Equip-Bldg-Mech & Portable,16932.97,26256
