,0
0,Colonial Place/ Riverview
1,
2,Idlewood/ Sandy Heights
3,Beacon Light Berkley
4,Ocean View
5,Attucks/ Barberton/ Church
6,Suburban Acres
7,Greenwood/Elmhurst/Norview Heights
8,Lafayette/ Winona
9,Northside
10,Young Terrace
11,Ballentine Place
12,Lake Taylor
13,Crossroads
14,Hunters Square
15,Broad Creek
16,Lindenwood/ Barraud Park/ Cottage Heights
17,Fox Hall
18,Park Place
19,River Forrest Shores/ Wayside Manor
20,Norfolk Industrial Park
21,Ingleside
22,Oakmont North
23,Norview
24,Campostella
25,Ghent Neighborhood League
26,Bruces Park
27,Downtown Norfolk Civic League
28,Algonquin Park/ North Shore Point
29,Chesterfield Heights
30,Larchmont/ Edgewater
31,Cottage Line
32,Sherwood Forest
33,West Ghent
34,East Ocean View
35,Brandon Place
36,Fairmount Park
37,South Bayview
38,Estabrook/Coleman Place
39,Brambleton
40,Glengariff
41,Belvedere
42,Campostella Heights
43,Roosevelt Area
44,The Gardens
45,Bayview
46,Sewells Gardens
47,Glenrock
48,Lake Whitehurst West
49,Greater Pinewell
50,No Civic League
51,Poplar Hall
52,Lamberts Point
53,Lochhaven
54,Camellia Shores/ Camellia Acres
55,Olde Huntersville
56,Kensington/ Old Dominion
57,Monticello Village
58,Wards Corner
59,Meadowbrook Woods
60,Coronado/ Inglenook
61,North Camelia Acres
62,Glenwood Park
63,Woodbine
64,Chesapeake Gardens/ Mamie Homes
65,Hollywood Homes/ Maple Hall
66,Freemason Street Area Association
67,Highland Park
68,Riverpoint
69,Ghent Square Comminuty Association
70,Oakwood
71,Titustown
72,Lakewood
73,Talbot Park
74,Willoughby
75,Easton Place
76,Oakdale Farms/ Denby Park
77,Villa Heights
78,Spartan Village
79,Bromley
80,Calvert Square
81,Meadowbrook
82,Camellia Gardens
83,East Lynne/ Saratoga
84,Stonebridge Crossing
85,Oak Leaf Forest
86,Pleasant Point
87,Cottage Road Park
88,Newtown South
89,Azalea Acres/ Azalea Lakes
90,North Meadowbrook
91,Bel-Aire
92,St Andrews Place
93,Wellington Oaks
94,Miltary Circle
95,Middle Towne Arch
96,Riverfront
97,Grandy Village Advisory Council
98,River Oaks
99,Cromwell Farms/ Ellsworth
100,Norvella Heights
101,Easton Forest
102,Diggs Town
103,Roland Park
104,Crown Point
105,Shadywood East
106,East Fairmount
107,Elizabeth Park
108,Bollingbrook
109,Janaf
110,ODU Village
111,Tanners Creek
112,Greenhill Farms
113,Lafayette Shores Homeowners Association
114,Tidewater Gardens
115,Partrea
116,Waverly on Broad Creek
117,Broad Creek Shores
118,Oakmont North Home Owners
119,Braywood Manor
120,Hewitt Farms
