,fiscal_year,department_name,fund_name,unit_name,expenditure_category,object_name,actual_expenses,current_expense_budget
0,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Advertising,6063.7500000000,9500.0000000000
1,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Books-Under $1000,772.0000000000,1027.0000000000
2,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,5288.3000000000,2444.0000000000
3,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Computer Software-Under $1000,345.2800000000,500.0000000000
4,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,,Dependent Care FSA,3003.3200000000,0.0000000000
5,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Employee Training Expense,3310.3900000000,3000.0000000000
6,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Employers Contrb Hospitalizatn,172143.1200000000,151605.0000000000
7,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Equipment,Equip-Office & Household,162.6100000000,1355.0000000000
8,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,"Materials, Supplies, and Repairs",Food,442.8000000000,1500.0000000000
9,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Group Life Insurance Perm,26284.9500000000,25192.0000000000
10,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Membership Dues & Subscription,1700.5000000000,7124.0000000000
11,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Mileage,0.0000000000,388.0000000000
12,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Other Contractual Services,107954.4300000000,126230.0000000000
13,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Parking Validations,499.0000000000,1250.0000000000
14,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Promotional Activities,1929.6100000000,15000.0000000000
15,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Retirement,246346.0000000000,246346.0000000000
16,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Retirement Expense (Vsrs Emp),132887.1300000000,60935.0000000000
17,2023,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Semi-Monthly/Monthly,1992786.7200000000,1876102.0000000000
